id,titulo,popularidade,nota,votos,data_lancamento,descricao
1265063,Depois da Caçada,68.1231,5.989,224,2025-10-09,"Uma professora universitária (Julia Roberts) enfrenta um grande desafio quando uma estudante (Ayo Edebiri) acusa gravemente um professor (Andrew Garfield), e um segredo obscuro do seu próprio passado ameaça vir à tona."
1429738,Tee Yai: Nascido para o Mal,66.4793,4.8,35,2025-11-12,"Na Bangkok da década de 1980, um ladrão astuto comete uma série de assaltos ousados, impressionando as autoridades e o público. Até que um policial decide ir atrás dele."
1214140,Orang Ikan,56.6907,5.72,75,2025-05-08,"No Pacífico, em 1944, um soldado japonês e um prisioneiro de guerra britânico estão presos em uma ilha deserta, caçados por uma criatura mortal. Dois inimigos mortais precisam se unir para sobreviver ao desconhecido."
269149,Zootopia: Essa Cidade é o Bicho,60.4475,7.753,17108,2016-02-11,"Em uma cidade de animais antropomórficos, uma raposa fugitiva vigarista e um coelho policial recruta precisam trabalhar juntos para desvendar uma conspiração."
203101,学園黙示録 HIGHSCHOOL OF THE DEAD ドリフターズ・オブ・ザ・デッド,112.3367,7.444,471,2011-04-25,
1237082,31 Minutos: Natal Escaldante,59.3751,8.25,12,2025-11-19,"Bodoque parte rumo ao Polo Norte em busca dos presentes de Natal para Titirilquén, mas sua compulsão por apostas gera problemas. No estúdio, Mario Hugo enfrenta desafios ao tentar realizar um show natalino."
1223601,Sisu: Estrada para a Vingança,58.5764,7.52,25,2025-10-21,"Ao retornar à casa onde sua família foi brutalmente assassinada durante a guerra, ""o homem que se recusa a morrer"" a desmonta, carrega seus destroços em um caminhão e está determinado a reconstruí-la em algum lugar seguro em sua homenagem. Quando o comandante do Exército Vermelho que matou sua família retorna, decidido a terminar o serviço, inicia-se uma perseguição implacável e alucinante por todo o país — uma luta até a morte."
1242419,O Bom Bandido,58.2899,7.182,212,2025-10-08,"Um criminoso carismático durante sua fuga da polícia, assume uma nova identidade e começa a trabalhar em uma loja de brinquedos. Lá, se envolve com uma funcionária e inicia um romance inesperado. Mas quando seu passado ameaça vir à tona, os dois se veem diante de escolhas que podem mudar o destino de suas vidas para sempre."
575265,Missão: Impossível - O Acerto Final,57.3538,7.257,2115,2025-05-17,"Depois de escapar de um acidente de trem calamitoso, Ethan percebe que a Entidade está escondida a bordo de um antigo submarino russo, mas um inimigo do seu passado chamado Gabriel também está no encalço."
1025527,A Perseguição,52.393,5.873,80,2024-12-11,"Anos depois de não conseguir resolver o assassinato de uma jovem, um detetetive se vê obrigado a reabrir o caso quando um crime semelhante acontece. Faltando apenas 6 dias para o caso ser definitivamente arquivado, ele sente o dever de solucioná-lo e evitar que outra criança sofra o mesmo destino."
1161617,Code 3,56.4383,6.701,127,2025-09-12,
1214130,Frankie e os Monstros,49.0969,6.8,12,2025-10-16,"O filme acompanha Frankie, um ""cabeça de costura"" criado por um cientista maluco em um castelo isolado. Embora tenha sido feito para ser dócil e temer os humanos, ele decide enfrentar seu maior medo: deixar o castelo e descobrir o mundo real, ao lado de outros monstros."
639988,Sem Outra Escolha,55.8041,7.8,56,2025-09-24,"Depois de ficar desempregado por vários anos, um homem elabora um plano único para conseguir um novo emprego: eliminar sua concorrência."
798645,O Sobrevivente,55.3684,6.811,201,2025-11-11,"Em um futuro próximo, ""O Sobrevivente"" é o show de maior audiência na televisão – uma competição mortal onde os participantes precisam sobreviver 30 dias enquanto são caçados por assassinos profissionais. Cada passo é transmitido a um público sedento por sangue e cada dia sobrevivido aumenta o prêmio em dinheiro para o vencedor."
1511789,Capitão Hook: A Maldição das Marés,54.0408,4.975,40,2025-07-11,"Após uma derrota devastadora sofrida por seu arquiinimigo, Almirante Smee, o notório Capitão James Hook encontra refúgio na cidade costeira de Eldritch Landing, onde forma uma aliança improvável com Silas Blackweather, um ferreiro local em busca de vingança pelo assassinato de sua irmã. Enquanto eles fogem dos soldados casacas vermelhas de Smee na densa floresta da ilha, lutas de espadas implacáveis, maldições antigas e motivos conflitantes desafiarão sua busca compartilhada por vingança. Juntos, Hook e Silas navegam em águas desconhecidas para enfrentar o traiçoeiro Almirante Smee, embarcando em uma jornada que redefinirá o legado duradouro do Capitão Gancho."
8915,Especial Mulheres Inspiradoras,50.4162,5.7,247,2009-10-22,"Amelia Earhart foi a primeira mulher a completar a travessia do oceano Atlântico pilotando um avião. Este feito fez com que se tornasse uma celebridade nos Estados Unidos, onde passou a ser chamada de ""deusa da luz"" devido a sua ousadia e carisma. Seu fascínio pelo perigo inspirou até mesmo a primeira dama Eleanor Roosevelt. Casada com George Putnam, um magnata do mercado editorial, e tendo o piloto Gene Vidal como seu grande amigo, Amelia decide, em 1937, embarcar na mais arrojada de suas missões: dar a volta ao mundo em um voo solo."
1234821,Jurassic World: Recomeço,50.1766,6.4,2532,2025-07-01,"Cinco anos após os eventos de Jurassic World: Domínio, a ecologia do planeta se mostrou inóspita para os dinossauros, com os poucos sobreviventes vivendo isolados nas regiões equatoriais. Zora Bennett é contratada para liderar uma equipe de especialistas cujo objetivo é obter o material genético das três maiores criaturas, cujo DNA contém a chave para a criação de um medicamento que trará grandes benefícios à humanidade. Mas a operação se cruzará com uma família cujo barco virou, e todos acabarão em uma ilha proibida, ocupada por dinossauros de inúmeras espécies, onde terão que fazer o impossível para sobreviver."
1134278,Medo no Pacífico,49.6123,4.486,35,2024-07-11,Quatro amigas viajam para uma ilha na Polinésia Francesa em busca de ondas que ninguém surfou. Elas são levadas por um ex-militar que avisa a uma delas que o local foi apagado de todos os mapas e que ninguém nunca retornou de lá.
1215106,หมู่บ้านโคกะโหลก,45.4892,3.8,5,2025-11-06,
1010581,Minha Culpa,48.285,7.764,3925,2023-06-08,"Noah é obrigada a mudar de cidade, deixando seus amigos e namorado para trás, após sua mãe se casar com um novo marido rico. Lá ela conhece Nick, seu novo meio-irmão, e os dois se apaixonam loucamente, vivendo um grande romance proibido."
1522377,"Dois Mundos, Um Desejo",48.1932,9.3,4,2025-11-24,"Vinte e um anos depois de um encontro mágico em um hospital infantil, Bilge e Can de repente começam a ouvir a voz um do outro telepaticamente. O que parece um milagre logo revela um segredo escondido, pois o destino, ao reuni-los depois de décadas, lhes reserva muito mais. Uma aventura emocionante e uma história de amor épica os aguardam."
1299655,Blue Moon,47.5737,7.06,25,2025-10-17,"Na noite de 31 de março de 1943, o lendário letrista Lorenz Hart confronta sua autoconfiança abalada no bar Sardi's, enquanto seu antigo colaborador Richard Rodgers comemora a estreia de seu inovador musical de sucesso, ""Oklahoma!""."
793387,Holy Night: Demon Hunters,46.2691,6.7,69,2025-04-30,"Holy Night é uma equipe que luta contra grupos que adoram demônios. Os membros da equipe da Holy Night são Bau, Sharon e Kim Gun. A habilidade especial de Bau é sua poderosa força física. Sharon tem a habilidade de identificar demônios e realizar exorcismos. Kim Gun ajuda Bau e Sharon. Enquanto isso, a psiquiatra Jung Won visita a equipe da Noite Santa para salvar sua irmã mais nova, Eun Seo. Um demônio reside no corpo de Eun Seo."
1377505,Terror no Hospital Psiquiátrico,45.5744,5.038,13,2024-10-25,"Quando um paciente perigoso escapa do confinamento de um asilo psiquiátrico e começa a matar desenfreadamente, a equipe do turno noturno enfrenta seu pior pesadelo, enquanto luta pela sobrevivência."
1215106,หมู่บ้านโคกะโหลก,45.4892,3.8,5,2025-11-06,
1280450,Garota Roubada,44.6159,6.5,86,2025-09-04,"Uma mulher americana passa mais de dez anos procurando sua filha, sequestrada e levada para o Oriente Médio pelo pai, enfrentando perigos e desafios em sua busca incansável."
1156594,Nossa Culpa,44.5173,7.493,527,2025-10-15,"O casamento de Jenna e Lion marca o tão esperado reencontro entre Noah e Nick após o término. A incapacidade de Nick de perdoar Noah é uma barreira intransponível. Ele, herdeiro dos negócios do avô, e ela, iniciando a vida profissional, evitam alimentar uma chama ainda acesa. Mas, agora que seus caminhos se cruzaram novamente, será o amor mais forte que o ressentimento?"
507244,Caçadores do Fim do Mundo,43.6961,6.9,121,2025-08-20,"Uma década após uma tempestade solar devastar o planeta e eliminar toda a tecnologia, um ex-soldado sobrevive caçando tesouros perdidos para os poucos poderosos que ainda restam. Sua nova missão é recuperar a Mona Lisa, de Leonardo da Vinci. Ele se une uma outra caçadora e se vê em uma perigosa corrida contra um senhor da guerra implacável que também está atrás da relíquia. Cercado por enigmas e ameaças, terá que escolher entre se apegar ao passado ou lutar por um novo futuro.​"
1218762,Feliz Assalto!,43.5704,6.024,21,2025-11-25,Dois trabalhadores sem grana se unem para assaltar uma loja de departamentos de Londres em plena véspera de Natal. Mais fácil roubar o coração um do outro no caminho.
911430,F1 - O Filme,43.0711,7.8,2655,2025-06-25,"Sonny Hayes, a lenda do automobilismo, é persuadido a deixar a aposentadoria para liderar uma equipe de Fórmula 1 em dificuldades—e ser mentor de um jovem piloto famoso—enquanto busca mais uma oportunidade de glória."
1117857,Nos Seus Sonhos,43.0275,7.123,102,2025-11-07,Um casal de irmãos viaja pela paisagem absurda dos próprios sonhos para pedir ao Sandman que realize seu desejo de uma família perfeita.
1061474,Superman,42.556,7.414,3875,2025-07-09,"Superman, um jovem repórter de Metrópolis, embarca em uma jornada para reconciliar sua herança kryptoniana com sua criação humana como Clark Kent."
1323475,Borbulhas de Amor,41.7909,6.1,63,2025-11-18,Uma executiva americana vai a Paris disposta a comprar uma marca de champanhe antes do Natal e acaba se apaixonando pelo filho do fundador da empresa.
861451,O Guerreiro,40.1383,4.058,26,2024-10-11,"A jornada de um homem que descobre a si mesmo, encontra o amor e luta por sua terra natal - será que ele conseguirá manter o controle em todas as três frentes?"
1087192,Como Treinar o Seu Dragão,40.0727,7.987,2205,2025-06-06,"Na montanhosa Ilha de Berk, vikings e dragões são inimigos implacáveis há gerações, mas Soluço é diferente. Filho do Chefe Stoico, o Imenso, o criativo e subestimado Soluço desafia séculos de tradição ao fazer amizade com Banguela, um temido dragão Fúria da Noite. Essa relação improvável revela a verdadeira natureza dos dragões, abalando as bases da sociedade viking."
24428,Os Vingadores: The Avengers,39.4423,7.86,34130,2012-04-25,"Loki, o irmão de Thor, ganha acesso ao poder ilimitado do cubo cósmico ao roubá-lo de dentro das instalações da S.H.I.E.L.D. Nick Fury, o diretor desta agência internacional que mantém a paz, logo reúne os únicos super-heróis que serão capazes de defender a Terra de ameaças sem precedentes. Homem de Ferro, Capitão América, Hulk, Thor, Viúva Negra e Gavião Arqueiro formam o time dos sonhos de Fury, mas eles precisam aprender a colocar os egos de lado e agir como um grupo em prol da humanidade."
